Student_ID,Name,Math,Science,English,Computer,Social_Science,Total,Percentage,Result
1,Student_0001,49,38,70,66,63,286,57.2,Pass
2,Student_0002,52,48,46,89,39,274,54.8,Pass
3,Student_0003,38,46,62,64,99,309,61.8,Pass
4,Student_0004,38,60,88,63,92,341,68.2,Pass
5,Student_0005,70,35,55,89,78,327,65.4,Pass
6,Student_0006,70,54,62,78,48,312,62.4,Pass
7,Student_0007,46,83,47,80,79,335,67.0,Pass
8,Student_0008,68,40,93,50,83,334,66.8,Pass
9,Student_0009,45,72,81,59,43,300,60.0,Pass
10,Student_0010,40,64,72,45,64,285,57.0,Pass
11,Student_0011,47,83,70,93,81,374,74.8,Pass
12,Student_0012,55,82,80,61,69,347,69.4,Pass
13,Student_0013,44,56,66,55,94,315,63.0,Pass
14,Student_0014,83,69,63,76,42,333,66.6,Pass
15,Student_0015,64,39,75,86,69,333,66.6,Pass
16,Student_0016,43,62,75,62,98,340,68.0,Pass
17,Student_0017,85,93,53,68,52,351,70.2,Pass
18,Student_0018,66,68,89,86,81,390,78.0,Pass
19,Student_0019,63,52,100,98,46,359,71.8,Pass
20,Student_0020,41,49,54,55,89,288,57.6,Pass
21,Student_0021,43,84,83,94,67,371,74.2,Pass
22,Student_0022,36,49,69,78,49,281,56.2,Pass
23,Student_0023,72,90,55,93,35,345,69.0,Pass
24,Student_0024,68,99,57,99,48,371,74.2,Pass
25,Student_0025,73,99,60,54,82,368,73.6,Pass
26,Student_0026,55,35,76,97,37,300,60.0,Pass
27,Student_0027,49,81,74,65,42,311,62.2,Pass
28,Student_0028,65,45,45,97,43,295,59.0,Pass
29,Student_0029,51,51,95,56,68,321,64.2,Pass
30,Student_0030,89,62,60,74,86,371,74.2,Pass
31,Student_0031,82,91,92,50,66,381,76.2,Pass
32,Student_0032,63,43,78,37,64,285,57.0,Pass
33,Student_0033,63,35,44,42,64,248,49.6,Pass
34,Student_0034,43,39,77,44,100,303,60.6,Pass
35,Student_0035,65,70,97,62,51,345,69.0,Pass
36,Student_0036,95,66,95,87,59,402,80.4,Pass
37,Student_0037,47,47,90,80,89,353,70.6,Pass
38,Student_0038,87,94,41,47,42,311,62.2,Pass
39,Student_0039,86,78,48,66,59,337,67.4,Pass
40,Student_0040,59,92,52,89,58,350,70.0,Pass
41,Student_0041,70,94,66,44,91,365,73.0,Pass
42,Student_0042,47,41,36,46,65,235,47.0,Pass
43,Student_0043,56,87,97,96,62,398,79.6,Pass
44,Student_0044,86,42,56,83,35,302,60.4,Pass
45,Student_0045,84,68,93,71,89,405,81.0,Pass
